campus,teachers,pct_begin,pct_1to5,pct_6to10,pct_11to20,pct_over20,avg_yrs_exp,avg_yrs_dist,stud_per_tchr,tchr_sal,admin_sal
'057848007,56.7,24.5,70.2,3.5,1.8,0,2.1,1.4,16.9,44497,63789
'057848008,25.7,22.6,57.9,0,19.5,0,4.1,1.4,17.7,46014,58500
'057848009,41.9,28.4,62.1,2.4,7.2,0,2.8,0.9,10.3,43939,75667
'057848010,55.6,31.6,62.9,3.6,2,0,1.4,0.7,16.9,42647,67400
'057848011,25.3,28.8,63.3,4,4,0,1.7,0.7,18.3,43500,97000
'057848012,52.3,26.2,70,0,1.9,1.8,1.8,0.8,18.2,44535,66322
'057848013,26.7,38.5,57.7,0,3.8,0,1.5,0.6,14.9,43805,
'057848014,53.3,22.7,52.4,10.7,12.4,1.9,3.4,0.7,17.1,43688,61625
'057848015,27,36.3,50,8.5,5.2,0,2,0.6,14.8,45194,68333
'057848016,57,37.1,59.4,0,3.5,0,1.1,0.6,16.2,43982,75600
'057848017,22.9,45.4,50.2,0,4.4,0,1.2,0.5,18.3,42966,
'057848018,18.9,63.4,26,5.3,0,5.3,2.1,0.2,11.7,43538,95000
'057848019,49.8,68.7,22,1.2,4,4,2.2,0,17.8,44154,67000
'057848020,26.1,69.1,25.5,1.6,0,3.8,1.6,0,14.4,44046,60000
'057848021,56.4,66.4,28.2,3.5,1.8,0,1.2,0,15.2,43354,71404
'057848022,24.8,59.6,24.2,12.1,4,0,1.8,0,12.4,42143,58500
'057848023,56.7,55.9,22.9,15.9,5.3,0,2.7,0.2,16.4,44146,68777
'057848024,26.2,42.7,34.4,15.3,7.6,0,2.9,0.3,12.2,44375,
'057848025,53.2,70.4,14.6,1.8,9.4,3.8,2.7,0,16.8,44969,46192
'057848026,26.4,66.3,26.1,0,7.6,0,1.2,0.1,12.2,45065,65000
'057849001,14.2,8,54.9,18,8.6,10.6,8.3,1,11.9,51894,74676
'057849002,0.6,0,65.2,12.9,5.9,16,12,1,-2,54494,
'057850001,17,76.5,17.6,0,0,5.9,1.9,0.2,12.1,37089,60000
'057850002,9,11.1,88.9,0,0,0,1.3,0.3,9.2,36139,60000
'057903001,135.5,8.8,26.7,21.5,25.3,17.7,11.2,7.7,15.1,59774,89109
'057903002,126.1,11.8,31.5,21.5,22.4,12.7,9.1,6.6,15.5,57558,87245
