campus,teachers,pct_begin,pct_1to5,pct_6to10,pct_11to20,pct_over20,avg_yrs_exp,avg_yrs_dist,stud_per_tchr,tchr_sal,admin_sal
'057912124,40.4,0,42,19.8,25.8,12.4,9.9,8.7,17.2,59424,76655
'057912161,24,4.2,20.8,16.7,33.3,25,12.8,10.7,25.9,59908,78049
'057912162,19,0,15.8,31.6,47.4,5.3,11.7,10.1,25.6,58841,79211
'057912163,21,0,23.8,19,42.9,14.3,13.2,11.2,26.5,59862,88665
'057913001,119.2,8,28.4,14.6,32,16.9,11.6,5,17.9,57853,92886
'057913041,59.8,11,36.5,15.9,27,9.6,8.8,4.1,16.9,56233,81572
'057913042,31.8,7.2,35.2,31.2,19.3,7.1,8.8,4.9,16.7,55584,92214
'057913101,44.8,8.8,20.1,24.6,37.6,8.9,10.6,6.2,15.3,56327,79467
'057913102,36.9,7.8,24.4,21.7,27.1,19,12,6.7,19.1,57236,76380
'057913103,42,9.5,33.3,19,26.2,11.9,8.7,3.4,16.1,55923,76919
'057913106,29,3.4,37.9,24.1,20.7,13.8,9.7,6,17.1,55447,79609
'057913107,33,9.1,33.3,12.1,33.3,12.1,10.1,3,15.4,55815,85659
'057913109,33,6.1,27.3,21.2,36.4,9.1,10.4,5.2,19.1,55459,92965
'057913111,,,,,,,,,,,
'057914001,181,8.3,34.8,17.3,29.2,10.4,9.8,7.1,16,59408,83376
'057914002,176.7,7.3,28.8,19.5,31.1,13.4,10.2,6.4,15.9,60146,86196
'057914003,139.3,7.9,35,29.1,20.1,7.9,9.1,5.9,14.9,59465,80878
'057914004,118.6,4.1,29.2,23.9,26.7,16,10.8,7.2,15.6,60309,81691
'057914005,147.4,4.7,29.5,22.3,30,13.5,10.6,7.2,16.2,58929,83991
'057914007,,,,,,,,,,,
'057914041,51.2,15.2,33.2,15.6,32,3.9,8.2,6,16.1,55514,79604
'057914042,55.1,5.4,32,20,33.6,9.1,9.9,7,14.6,56477,73903
'057914043,67.2,11.9,55.4,9.7,14.1,9,7.4,5.2,14.5,55429,71162
'057914044,66,21.2,43.3,7.6,18.8,9.1,7.1,4.4,15.2,54810,78609
'057914045,59.7,10.1,33.5,21.8,33,1.7,8,5.6,15.5,54803,79131
'057914046,52.2,7.7,36.4,18.2,23,14.8,10.1,7.9,15.8,56605,84338
'057914047,55,0,40.6,30.1,23.7,5.6,9,6.8,16.5,56161,74418
'057914048,50.6,8.4,32.3,18.9,34.4,5.9,8.9,6.1,17.8,57759,84364
'057914101,36.4,19.2,28.2,18.5,23.2,11,9.3,8.2,17.2,56166,86267
'057914102,41.3,9.7,33.9,24.2,28.6,3.6,8.8,6.2,15.6,55305,77703
'057914103,44.6,13.5,20.6,26.9,35.2,3.8,9.7,8,16.4,56236,84162
'057914104,52.1,3.8,30.2,22.6,35.5,7.8,10.7,7.8,17.9,56800,73712
'057914105,47.4,8.4,42.4,19.5,26.1,3.6,7.9,5.8,16.2,55345,85693
'057914106,53.2,16,37.2,16.9,18.9,10.9,8.1,6.9,16.4,55660,71213
'057914107,29.9,0,27.4,27.5,25.1,20.1,12.3,9.7,15.2,58017,79723
'057914108,45.3,4.4,32.7,30.5,22.5,10,9.4,8.1,16.9,56269,83559
'057914109,36.8,5.5,33.6,24.5,18,18.5,10.4,8,12.5,57630,77602
'057914110,29,20.7,27.6,11.8,22.6,17.2,10.2,7.5,16.3,56837,76633
'057914111,51.8,6.2,19.3,30.1,36.6,7.7,10.2,7.1,15.9,56632,76468
'057914112,45.5,15.3,34.1,15.4,24.1,11,9,5.5,18.1,55823,84162
'057914113,51.6,9.7,42.2,24.9,13.5,9.7,8.3,6.2,16.9,56540,82353
'057914114,37.2,10.7,35.5,18.8,28.2,6.8,9.4,6.8,19.5,55906,88333
'057914115,29.9,0,43.5,33.5,16.3,6.7,8.2,5.2,14.1,55604,91683
'057914116,51.9,7.3,48.2,21.2,21.3,1.9,6.8,4.3,15.4,54827,76726
'057914117,37.3,8.2,23,37.6,26,5.4,9.3,6.7,16.2,56347,84622
'057914118,34.4,3,35.3,24.8,15.1,21.8,10.3,7.9,15.6,56725,82990
'057914119,29.5,3.4,33.9,11,41.3,10.5,11.2,8.8,15.8,56751,87900
'057914120,30.1,3.3,43.3,11.6,28.5,13.3,9.8,7.1,15,56152,77518
'057914121,51.6,11.7,40.7,21.3,22.4,3.9,7,4.5,16.7,55115,77643
'057914122,19.5,0,25.6,15.4,48.3,10.7,11.6,10.5,12.4,57342,91617
'057914123,27.7,21.6,21,14.4,28.8,14.1,11.3,9,15.6,56935,80355
'057914124,33,3,43.7,21.3,32,0,8.1,7.2,17.1,56007,73757
'057914125,32.1,6.2,28.1,21.8,29.6,14.3,11.4,10.4,14.7,56837,84402
'057914126,28,7.1,10.7,30,41.4,10.7,12.8,11.1,15.5,57443,71986
'057914127,33,18.2,33.3,3,30.1,15.3,9.1,7.1,17.1,55877,75435
'057914128,38.8,23,30.9,18,22.3,5.7,7.4,5.8,16.3,55353,73757
'057914129,30.6,16.3,45,26.1,6,6.5,6.9,5.2,16.1,55482,79787
'057914130,51.2,3.9,40.6,23.5,20.9,11.1,9.7,8,17.9,56157,76704
'057914131,45.6,10.8,44,17.5,23.7,3.9,7.1,5.6,17.2,55278,80729
'057914132,55.8,7.2,37.2,33.6,13.1,9,8.3,4.6,17.4,55626,76601
'057914133,58.4,5.1,47.8,22.3,20.6,4.3,7.3,5.1,16.5,55094,77474
'057914656,46.2,2.2,15.4,22.3,32.1,28.1,15.5,12.2,4,61079,90611
'057916002,180.3,9,36.4,17.3,24.1,13.2,9.8,6.3,15.5,55748,90021
'057916003,183.6,5.5,31.7,19.9,30,12.8,10.6,7.1,15.1,56398,89161
'057916004,158.1,5.7,28.2,24.3,31.4,10.4,10.1,5.9,15.1,56330,82900
'057916005,174.7,3.4,28.3,22.7,34.8,10.8,10.8,7.1,15.1,56452,86124
'057916006,23.7,0,33.7,34.5,27.5,4.2,9.5,6.9,2.9,55435,102552
'057916008,,,,,,,,,,,
'057916042,55,7.3,36.7,26.2,21.9,8,9,4,14.7,54429,77903
'057916044,54.4,11,37.9,23.7,23.9,3.5,8.5,5.4,13.1,54148,82555
'057916045,45.7,0,44,20,27.1,9,8.9,6.5,13.8,54873,87195
'057916047,56.1,8.9,38.3,23.9,21.7,7.1,8,3.9,14,55066,79485
'057916048,49.8,4,37.6,25.4,17.8,15.2,10.1,7.3,13.6,55061,86493
'057916049,49.8,6,30.5,27.1,30.3,6.1,9.5,6.6,12.4,54554,90115
'057916050,48.8,8.2,40.1,20.1,23.1,8.5,9.3,6.6,13.3,54949,84001
'057916051,41,7.3,40.7,23.8,20,8.1,8.6,6,15.5,54923,86572
'057916101,37.9,5.3,34.8,21.6,27.1,11.2,11.2,8.9,15.3,55443,84840
'057916102,22.4,2.3,48.3,4.5,16.9,28,13,10.2,13.2,57031,106561
'057916103,40.1,2.5,43.1,20,33.7,0.7,9.6,6.6,15,54644,85944
'057916104,35.7,16.6,31.7,15.9,27.2,8.6,8.2,5.8,12.3,54546,84051
'057916105,52.3,9.6,33.1,19.5,26.4,11.5,10.1,7.1,12.6,55371,83735
'057916106,30.1,4.7,24.2,20.7,33,17.5,12.4,9.3,15.1,56331,85864
'057916107,50.4,2,24,28,36.9,9.1,10.8,7.5,14.7,56325,83737
'057916108,28.8,5.1,37.2,12.2,27.2,18.3,11.7,8.4,15.7,55726,96743
'057916109,31.7,6.3,50.3,14.9,17.8,10.6,8.9,7,13.5,54750,90293
'057916110,32.2,6.2,39.8,15.9,31,7.2,9.2,5.5,13.6,54707,89650
'057916111,33.8,12.2,28.7,20.2,34.5,4.4,10.4,7.5,14.5,54918,89651
'057916112,34.8,2.9,48.1,12,23.8,13.2,11.6,7.9,15.2,55250,85944
'057916113,32.3,3.7,36.5,33.9,21,4.9,9.5,6.1,12.9,54844,88390
'057916114,46,6.5,30.7,26.8,20.3,15.7,11.3,5.7,16,55628,83107
'057916115,38.2,2.6,47.5,14.7,23.6,11.6,10,6.4,15.5,54931,83893
'057916116,49.7,16.1,42.6,19.3,13.1,8.8,7.5,4.7,16.2,53979,80346
'057916117,54.8,7.9,48.6,13.2,18.4,11.9,8.4,5.8,16.9,54762,80977
'057916118,22.9,6.2,23.8,22.5,33.2,14.4,12.4,9.8,14.4,56483,94536
'057916119,29.8,6.7,37,3.6,36.6,16.1,12.3,9.1,16.1,56461,83107
'057916120,43.1,13.9,42.7,16.7,14.7,12,8.9,5.8,15.7,54738,83107
'057916121,39.9,7.5,46,21.6,17.3,7.6,7.4,5.5,14.8,54038,85943
'057916122,43.9,6.9,34.9,12.9,24.4,20.9,11.5,9.3,14.2,56215,86007
'057916123,20.1,0,31.2,24.9,33.8,10.1,11.6,8.9,16.7,56009,106561
'057916124,22.4,8.9,36.2,21.7,27.1,6,9.9,7.9,15.4,54707,98953
'057916125,30.2,23.1,30.4,15.9,21.3,9.2,7.8,6,14.9,54154,99429
'057916126,52.5,5.7,31.1,24.8,31.8,6.6,10.2,6.3,14.6,56487,79086
'057916127,23.4,4.3,35.9,12.8,37.2,9.8,11.1,8,14.8,55232,83973
'057916128,46.2,5.5,25.1,19.5,42.4,7.6,10.8,8.7,17,55513,91242
'057916129,23.7,4.2,28.8,38.4,14.8,13.8,9.7,7.4,16.5,55838,88807
'057916130,42.2,4.7,64.9,12.8,12.4,5.2,6.8,4.1,15.4,53817,85944
'057916131,28.3,4.5,38.9,32,12.7,12,9.8,7,15.1,58626,88390
'057916132,32.4,3.1,34.9,19.1,29.3,13.6,10.1,8.5,15.1,55422,86911
'057916133,24.7,9.4,29.4,16.7,26.3,18.2,12.6,9.1,13.1,56754,101808
'057916134,37.5,4.4,45.4,17.5,18.6,14.1,9.7,7,15.3,55039,82632
'057916135,47.8,22.4,34.9,26.8,15.9,0,5.9,3.4,15.1,53531,79610
'057916137,52.4,14.1,31.8,33.4,17.7,3,7.1,4.2,15.8,56173,80346
'057916142,39.3,7.6,23.1,14.1,34.4,20.8,12.6,10.1,15.6,57215,85943
'057916143,46.8,15,59.8,10.9,9.1,5.2,6.5,4.4,15.6,53349,80475
'057916144,41.3,4.8,30.3,28.4,30.7,5.8,10.1,5.7,16,56164,83106
'057916145,45.5,8.8,30.7,29,22.7,8.8,9.3,4.8,14.6,54292,80977
'057916146,43.4,11.5,44.8,18.4,22,3.3,7.2,3.8,14.7,54457,79244
'057919001,42.6,2.3,18.6,23.3,33.7,22,13.3,4.7,12.4,57321,79652
'057919041,37,5.4,22.2,27.8,32.6,12,12.9,4.2,15.6,55489,77303
'057919101,40.9,0,14.2,33.4,41.5,10.8,12.7,5.7,17.1,56047,77223
'057922001,204.7,8.3,22.5,15.7,35.1,18.4,12.3,6.2,17.1,59465,87889
'057922003,26.7,11.2,42.8,22.5,16,7.5,7.1,3.2,11.8,56373,92751
'057922042,58.6,0,37,25.6,22.2,15.2,10.6,7.7,16.6,58072,92901
'057922043,67.7,10.3,33,16.2,37.5,3,8.8,3.5,17.8,56841,87015
'057922044,61.2,4.8,35.7,14.7,34.2,10.7,10,6.5,15.5,57669,80411
'057922101,26,3.8,23.1,15.4,38.4,19.2,12.7,9,16.1,58715,84149
'057922103,37.9,0,31.7,23.4,29,15.8,11.7,7.8,18.8,58487,75958
'057922105,32,3.1,34.3,9.4,37.5,15.6,11.5,8.4,16.1,58351,77466
'057922106,34,2.9,14.7,32.3,44.1,5.9,11.8,4.8,13.9,57996,78471
'057922107,33,6.1,12.1,18.2,42.4,21.2,14.4,9.2,15.9,59168,83138
'057922108,35.7,7.7,36.4,11.2,36.4,8.4,9.6,6.6,16.1,57300,82440
'057922109,31,6.5,41.9,19.4,19.4,12.9,9.4,7.2,16.1,57640,92396
'057922110,35.1,11.4,48.7,8.5,22.8,8.5,6.9,4.9,17.9,56061,86492
'057922111,33,12.1,39.4,12.1,24.2,12.1,8.8,4.7,14.1,57225,76669
'057922112,43,4.6,41.5,40.1,9.1,4.6,6.8,2.6,19.1,57598,75142
